y_test,y_pred
70.0,62.11329166666667
60.0,55.4335
60.0,57.411416666666675
55.0,49.54
25.0,29.86175
60.0,51.56241666666667
25.0,29.90066666666667
40.0,44.3195
52.5,49.025041666666674
60.0,61.679083333333345
50.0,47.906857142857135
60.0,52.529125
65.0,58.125
60.0,60.72725
25.0,28.58745833333333
65.0,63.91041666666666
45.0,46.276583333333335
40.0,39.2575
50.0,45.93091666666666
50.0,50.61325
37.0,37.492440476190474
66.0,70.09475
57.5,54.240833333333335
40.0,39.40325
57.5,55.024708333333336
50.0,50.986000000000004
50.0,50.255
55.0,51.84775
45.0,44.384499999999996
55.0,52.95545833333333
60.0,56.88945833333333
30.0,31.88625
22.0,27.734416666666668
37.25,40.85666666666666
50.0,45.9135
47.5,45.54066666666667
47.5,45.41416666666667
22.0,28.21875
40.0,43.45075
35.0,36.198
65.0,58.223333333333336
75.0,66.34984722222224
42.0,40.44316666666667
20.0,29.019333333333336
70.0,64.735
33.0,35.14225
37.0,38.074333333333335
37.0,45.971
37.0,37.20916666666667
45.0,42.463
55.0,49.38375
35.0,36.67575
35.0,35.969416666666675
52.5,47.51591666666667
50.0,49.15579166666667
65.0,63.13241666666668
55.0,49.92225
60.0,55.485625
37.0,37.150916666666674
37.0,37.282958333333326
20.0,29.47129166666667
60.0,61.63141666666667
80.0,78.45954166666665
22.0,28.368666666666662
30.0,34.839416666666665
45.0,42.58575
25.0,29.729333333333333
40.0,39.578
45.0,44.946016666666665
55.0,47.39175
55.0,49.240916666666664
32.5,35.029375
42.5,41.32966666666667
37.0,38.15291666666667
50.0,49.794
50.0,49.94275
50.0,48.94225
50.0,48.96287499999999
50.0,49.8018
37.0,40.96366666666667
37.0,37.873
50.0,49.91579166666667
50.0,48.46816666666666
37.0,42.502625
70.0,62.16791666666666
70.0,73.7376
60.0,56.863125
60.0,62.33583333333334
50.0,49.128125
53.0,49.194166666666675
70.0,65.656875
60.0,48.94270833333333
35.0,35.14711666666666
35.0,36.05641666666667
55.0,52.864
55.0,52.72120833333334
80.0,79.0165
22.0,29.934
25.0,29.626249999999995
70.0,58.395785714285715
30.0,35.90230952380953
65.0,60.790749999999996
33.5,35.133
30.0,33.68422916666667
50.0,46.264500000000005
30.0,37.327
50.0,46.9612
45.0,45.89516666666667
50.0,49.12575
55.0,50.16841666666666
20.0,25.436833333333336
22.0,31.669416666666663
60.0,54.6875
4.0,4.033
4.0,4.033
4.0,4.033
4.0,4.033
4.0,4.033
4.0,4.033
4.0,4.033
4.0,4.033
40.0,40.08075
50.0,46.758875
70.0,68.34966666666665
22.0,27.638
77.5,69.48695833333335
77.5,69.35008333333334
60.0,62.213350000000005
40.0,41.976749999999996
70.0,61.66025
45.0,43.0645
34.5,37.825875
50.0,49.754125
50.0,50.34400000000001
30.0,37.242
40.0,43.465541666666674
45.0,45.31491666666667
30.0,36.6158
55.0,51.39475
42.5,40.58775
60.0,56.47343750000001
55.0,51.658125
30.0,34.04991666666667
20.0,26.163916666666665
37.0,37.17941666666667
45.0,47.11175
30.0,31.991
45.0,44.09825
55.0,48.63175
65.0,56.84541666666667
70.0,58.259
20.0,27.138916666666663
45.0,43.093958333333326
100.0,93.81885000000001
45.0,44.818
30.0,36.26619047619048
60.0,53.387
35.0,34.56541666666667
50.0,39.17825
37.5,37.29475
80.0,67.99619166666666
40.0,39.49975
40.0,39.96175
65.0,63.717625000000005
55.0,49.92225
55.0,48.41903809523806
22.0,28.0171875
55.0,38.74558333333333
55.0,50.89795833333333
40.0,39.976083333333335
40.0,40.71158333333333
40.0,39.74325
35.0,38.57212499999999
37.0,39.84725
55.0,51.09866666666667
75.0,75.6005
70.0,60.31583333333334
88.0,84.52669999999999
55.0,52.217125
55.0,34.54975
65.0,76.23836666666666
45.0,43.8255
37.0,36.58933333333333
40.0,46.3975
60.0,48.41903809523806
80.0,71.98179166666665
55.0,53.06125
32.5,35.00641666666667
50.0,46.989824999999996
38.0,39.05225
44.75,46.40691666666666
100.0,92.73725
32.5,35.819375
37.0,32.91816666666667
110.0,82.62794999999998
85.0,84.87053333333334
120.0,105.665
55.0,64.9817
70.0,76.7635
95.0,90.55733333333332
55.0,64.87859999999999
80.0,81.82185
95.0,91.7496
90.0,88.76333333333334
37.0,36.58951666666666
55.0,50.290375
50.0,45.67925
65.0,55.1195
80.0,75.35183333333335
60.0,61.58533333333334
70.0,69.3195
22.0,65.44146428571429
60.0,62.12501666666667
37.5,37.493583333333326
60.0,57.198483333333336
55.0,63.952475
90.0,85.61966666666667
82.5,81.97666666666667
70.0,73.62603333333333
75.0,75.22283333333333
85.0,82.92858333333332
45.0,42.2315
73.0,73.23075
65.0,68.71675
53.5,63.4982
90.0,85.61335000000001
75.0,73.70938333333334
65.0,68.867975
42.5,44.87525
50.0,53.631585317460306
45.0,43.035583333333335
35.0,31.795333333333335
60.0,53.499333333333325
28.0,31.573416666666667
28.0,32.66475
28.0,32.16791666666667
28.0,33.49708333333333
28.0,33.53154166666666
28.0,32.32608333333334
30.0,31.815
40.0,40.60125
35.0,32.5455
45.0,43.41829166666667
45.0,42.905
60.0,51.18441666666667
56.25,44.95525
50.0,46.63816666666666
50.0,49.17483333333334
37.0,37.53141666666667
5.25,19.979666666666663
50.0,51.56395833333333
35.0,35.74875
40.0,38.92883333333334
40.0,42.18683333333333
45.0,43.47387499999999
35.0,36.632875
52.5,50.34625
48.0,44.30275
27.0,31.054166666666664
60.0,56.9595
70.0,77.32085000000002
90.0,85.761
25.0,29.63791666666667
65.0,64.95825
45.0,42.842875
50.0,45.50204166666666
50.0,51.943083333333334
25.0,30.66016666666667
32.5,35.94566666666667
30.0,33.307166666666674
65.0,60.72995833333333
90.0,87.99136666666668
65.0,64.69376666666666
40.0,39.7515
25.0,30.6955
25.0,31.191208333333332
30.0,29.26125
47.5,46.2275
45.0,46.37433333333333
45.0,45.99329166666667
72.5,70.0575
70.0,69.06376666666667
90.0,80.666
30.0,38.85295
22.0,28.497
60.0,53.42515476190482
40.0,39.888375
30.0,32.7771875
40.0,39.91220833333334
45.0,44.98983333333334
41.5,41.20841666666667
4.0,15.750833333333333
80.0,67.30595833333332
30.0,37.351749999999996
65.0,56.83616666666667
30.0,34.57708333333333
35.0,38.157
37.0,38.36579166666667
55.0,49.601625
36.0,39.3035
34.25,34.891083333333334
35.0,37.11541666666667
65.0,69.57071666666667
50.0,47.49729166666667
55.0,56.287
45.0,42.69133333333333
37.0,37.784166666666664
45.0,40.742104166666664
55.0,58.06083333333334
70.0,64.25404166666667
50.0,45.33675
22.0,29.012416666666663
22.0,28.623
65.0,66.56016666666666
65.0,66.56016666666666
65.0,66.56016666666666
55.0,54.573875
45.0,44.47858333333333
11.0,25.23325
70.0,73.55356666666668
60.0,56.12854166666666
30.0,33.14766666666667
25.0,29.38041666666667
50.0,50.687041666666666
37.0,37.018
35.0,35.19
35.0,41.332541666666664
60.0,53.59641666666666
35.0,38.233916666666666
37.0,37.55391666666667
55.0,54.11366666666667
75.0,74.71385000000001
94.0,88.46035
